site_name,geonames_id,latitude,longitude,Rischio_Alluvione,Rischio_Terremoto,artresearch_match,match_score,match_place,documentato,documentato_realmente
Tempio di Vespasiano,,40.749594,14.485165,Basso,Medio,"Tempio di Vespasiano, Rom",100,Rom,True,False
teatro romano di Ascoli Piceno,10288513.0,42.85366111,13.56858056,Basso,Elevato,,0,,False,False
Tempio C,,37.5832,12.8253,Basso,Medio,,0,,False,False
Tempio di Atena,,40.424502777778,15.005377777778,Basso,Basso,,0,,False,False
scavi archeologici di Stabia,,40.702952,14.499259,Basso,Medio,,0,,False,False
Tomba dei giganti di Sa Perda 'e S'Altare,,40.23746944,8.85855833,Basso,Basso,,0,,False,False
Saturo,,40.3713973,17.3055696,Basso,Basso,,0,,False,False
Terme di Elagabalo,,41.890236,12.489557,Basso,Medio,,0,,False,False
Tempio E,,37.586689973344,12.834817067249,Basso,Elevato,,0,,False,False
Tempio di Giano,,41.8913,12.48,Basso,Medio,,0,,False,False
Tempio di Venere,,40.748425,14.483872,Basso,Medio,"Tempio di Venere, Baia",100,Baia,True,False
Vecchia fucina,,41.28674167,14.56389722,Basso,Elevato,,0,,False,False
Saturo,,40.37138889,17.30555556,Basso,Basso,,0,,False,False
Tridentum,,46.0694569,11.123645,Basso,Basso,,0,,False,False
Via etrusca del ferro,,43.821944444444,10.604444444444,Elevato,Medio,,0,,False,False
teatro romano di Anzio,,41.45516111,12.62865278,Basso,Basso,,0,,False,False
Tempio di Flora,,41.30575556,14.56272222,Basso,Elevato,,0,,False,False
Tomba dei giganti di Osono,,40.03511111,9.61658333,Basso,Basso,,0,,False,False
tempio della Concordia,10376146.0,37.2897,13.5922,Basso,Basso,"Tempio della Concordia, Agrigent",100,Agrigent,True,True
Tunnel borbonico,,40.8354727695,14.2462720204,Basso,Elevato,,0,,False,False
Apigliano,,40.20288,18.26919,Basso,Basso,,0,,False,False
Kainua,,44.3370515,11.2038579,Basso,Elevato,,0,,False,False
anfiteatro romano di Ancona,,43.623142,13.512171,Basso,Elevato,,0,,False,False
Acropoli di Alatri,11857034.0,41.724717,13.344505,Basso,Elevato,,0,,False,False
tempio di Talamonaccio,,42.55166667,11.16972222,Basso,Basso,,0,,False,False
Area archeologica di Capo Colonna,,39.0289,17.2051,Basso,Medio,,0,,False,False
Archeoparco del Basileus,,40.6833,15.6,Basso,Elevato,,0,,False,False
Antinum,,41.889111111111,13.473805555556,Basso,Elevato,,0,,False,False
Ad Decimum,,41.8027,12.639,Basso,Elevato,,0,,False,False
Epipoli,,37.090582,15.218682,Basso,Elevato,,0,,False,False
Anfiteatro romano di Teramo,,42.6579,13.7032,Basso,Elevato,,0,,False,False
tomba del Diavolino II,,42.8757,10.9944,Basso,Basso,"Tomba del Diavolino II, Vetulonia",100,Vetulonia,True,True
tomba del Belvedere,,42.8695165,10.9828734,Basso,Basso,,0,,False,False
Porta Caelimontana e Porta Querquetulana,,41.8856,12.4952,Basso,Medio,,0,,False,False
tempio di Giove,,40.7499,14.4845,Basso,Medio,"Tempio di Giove, Cumae",100,Cumae,True,False
Tomba di Vigna Grande,,43.008732,11.947319,Basso,Medio,,0,,False,False
Acquedotto romano di Catania,,37.5494,14.9555,Basso,Elevato,,0,,False,False
anfiteatro romano di Rimini,,44.06027,12.5754,Basso,Elevato,,0,,False,False
Agyrion,,37.657497,14.522598,Basso,Medio,,0,,False,False
Tempio di Iside,,40.7492,14.4883,Basso,Medio,,0,,False,False
Arco augusteo di Siracusa,,37.073657,15.280068,Basso,Elevato,,0,,False,False
Antico porto di Atri,,42.585,14.0894,Basso,Elevato,,0,,False,False
Antiche Mura,,45.5428,12.6386,Elevato,Basso,,0,,False,False
Tomba dell'Iscrizione,,43.0242,11.9455,Basso,Medio,,0,,False,False
Vitozza,,42.6778,11.7569,Basso,Medio,,0,,False,False
Anfiteatro Romano di Arezzo,,43.4606,11.8806,Basso,Elevato,,0,,False,False
Acropoli di Arpino,8960167.0,41.649154,13.617731,Basso,Elevato,,0,,False,False
Ager Vaticanus,,41.9054,12.4662,Basso,Medio,,0,,False,False
Tomba del Granduca,,43.0339,11.9597,Basso,Medio,,0,,False,False
Arco di Gaio e Lucio Cesari,,41.892631,12.486033,Basso,Medio,,0,,False,False
